source,line,path,label,name,compatibles,status,compatible,reg,reg-names,interrupts,interrupt-names,interrupt-parent,clocks,clock-names,resets,reset-names,dmas,dma-names,power-domains,iommus,phys,phy-names,operating-points-v2,interconnects,interconnect-names,thermal-zones,memory-region,memory-region-names,nvmem-cells,nvmem-cell-names
2b5/zx279133-sr1010.dts,3,/,,/,"[""zte,133""]",,"""zte,133""",,,,,<0x01>,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,10,/top_fixed,,top_fixed,"[""simple-bus""]",,"""simple-bus""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,16,/top_fixed/osc25m,,osc25m,"[""zxic,zx-fixed-rate"", ""fixed-clock""]",,"""zxic,zx-fixed-rate"", ""fixed-clock""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,24,/top_fixed/osc50m_clk,,osc50m_clk,"[""zxic,zx-fixed-rate"", ""fixed-clock""]",,"""zxic,zx-fixed-rate"", ""fixed-clock""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,32,/fixed_div,,fixed_div,"[""simple-bus""]",,"""simple-bus""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,38,/fixed_div/sd_wclk_div,,sd_wclk_div,"[""zxic,zx-fixed-factor""]",,"""zxic,zx-fixed-factor""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,47,/fixed_div/nand_wclk,,nand_wclk,"[""zxic,zx-fixed-factor""]",,"""zxic,zx-fixed-factor""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,59,/top_pll,,top_pll,"[""simple-bus""]",,"""simple-bus""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,65,/top_pll/pll_2000m_clk,,pll_2000m_clk,"[""zxic,zx-pll""]",,"""zxic,zx-pll""",<0x00 0x10e10080 0x00 0x10>,,,,,<0x02>,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,78,/top_pll/pll_lsp_2000m_clk,,pll_lsp_2000m_clk,"[""zxic,zx-pll""]",,"""zxic,zx-pll""",,,,,,<0x02>,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,88,/top_pll/pll_1376m_clk,,pll_1376m_clk,"[""zxic,zx-pll""]",,"""zxic,zx-pll""",,,,,,<0x02>,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,98,/top_pll/pll_fpp_2500m_clk,,pll_fpp_2500m_clk,"[""zxic,zx-pll""]",,"""zxic,zx-pll""",,,,,,<0x02>,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,109,/top_mux,,top_mux,"[""simple-bus""]",,"""simple-bus""",,,,,,,,,,,,,,,,,,,,,,,
2b5/zx279133-sr1010.dts,115,/top_mux/mux@0,,mux@0,"[""zxic,zx-mux""]",,"""zxic,zx-mux""",<0x00 0x10e10000 0x00 0x04>,,,,,,,,,,,,,,,,,,,,,,
