path,sha256,compatibles,module_parameters,api_categories,register_constants
"linux-6.18.38/Documentation/devicetree/bindings/clock/zte,zx279133-lsp-clk.yaml",f136d1eb08c897599af5ac3b80cdf0a7338111a505dc937c23d705911fc0319a,"[""1"", ""pclk"", ""spifc_wclk"", ""syscon"", ""wclk100"", ""wclk25"", ""zte,zx279133-lsp-clk""]",[],"{""clock"": [""ZX279133_TOPCRM_CLK_LSP0_100M"", ""ZX279133_TOPCRM_CLK_LSP0_25M"", ""ZX279133_TOPCRM_CLK_LSP0_PCLK"", ""ZX279133_TOPCRM_CLK_SPIFC_WCLK"", ""clock"", ""clocks""]}","[""0x100"", ""0x10d00000""]"
"linux-6.18.38/Documentation/devicetree/bindings/clock/zte,zx279133-lsp1-clk.yaml",592bead9cd9683bd54ead9d85bf35ae0e5c04d563ff326721b4a273addedc830,"[""1"", ""pclk"", ""wclk100m"", ""wclk25m"", ""wclk32k"", ""zte,zx279133-lsp1-clk""]",[],"{""clock"": [""ZX279133_TOPCRM_CLK_LSP1_100M"", ""ZX279133_TOPCRM_CLK_LSP1_25M"", ""ZX279133_TOPCRM_CLK_LSP1_32K"", ""ZX279133_TOPCRM_CLK_LSP1_PCLK"", ""clock"", ""clocks""], ""phy"": [""MDIO""]}","[""0x100"", ""0x14f00000""]"
"linux-6.18.38/Documentation/devicetree/bindings/clock/zte,zx279133-topcrm.yaml",ae641469c931a4b1bdf738d09e23ce35a158ebcadf1a4f0c9d6af8adbaf79e69,"[""1"", ""osc25m"", ""pll-1376m"", ""pll-cpu"", ""pll-fpp"", ""pll-lsp"", ""syscon"", ""zte,zx279133-topcrm""]",[],"{""clock"": [""clock"", ""clocks""], ""interconnect"": [""interconnect""], ""phy"": [""MDIO""], ""thermal"": [""temperature""]}","[""0x60"", ""0x10e10000""]"
"linux-6.18.38/Documentation/devicetree/bindings/gpio/zte,zx279133-gpio.yaml",9894cf6ea25d394220e7de1448f9016dba64cb740b1b53503fc6c64a2ea015b1,"[""2"", ""zte,zx279133-gpio""]",[],{},"[""0x40"", ""0x10d10080""]"
"linux-6.18.38/Documentation/devicetree/bindings/hwmon/zte,zx279133-pvt.yaml",785acc7285426fe1ffa1042d7e2ee160700792d1f46e9ce61cad182a5e557a22,"[""0"", ""pclk"", ""ttrim"", ""wclk"", ""zte,zx279133-pvt""]",[],"{""clock"": [""clock"", ""clocks""], ""thermal"": [""Temperature"", ""temperature""]}","[""0x10000"", ""0x10e70000""]"
"linux-6.18.38/Documentation/devicetree/bindings/mfd/zte,zx279133-wdt-reset.yaml",3a2c84aa7014adbf4dfc232665bca09918426d3911ddc8af19f09919fa480ca0,"[""syscon"", ""zte,zx279133-wdt-reset""]",[],{},"[""0x10e10208""]"
"linux-6.18.38/Documentation/devicetree/bindings/net/dsa/zte,zx279133-rtl8372n.yaml",326d208cfd7667552baf22ff5a958fcbba00529e859a937afe9cde12aa14c034,"[""realtek,rtl8372n"", ""zte,zx279133-lan-conduit"", ""zte,zx279133-rtl8372n""]",[],"{""phy"": [""MDIO"", ""mdio""]}","[""0x1d""]"
"linux-6.18.38/Documentation/devicetree/bindings/net/zte,sr1010-rtl8372n-id-audit.yaml",d114010891e9f00c464e14afd0e31b1fb65dae3b733235cb4fc790f45438dabe,"[""29"", ""zte,sr1010-rtl8372n-id-audit""]",[],"{""phy"": [""MDIO"", ""mdio""]}","[""0x1d""]"
"linux-6.18.38/Documentation/devicetree/bindings/net/zte,sr1010-zx279051-audit.yaml",62cdfd5f1a5d0271ea671d774b428d32deb4cc8cad7b660a6ba1c0e2d33e9132,"[""1"", ""zte,sr1010-zx279051-audit""]",[],"{""phy"": [""MDIO"", ""mdio""]}",[]
"linux-6.18.38/Documentation/devicetree/bindings/net/zte,zx279133-mdio.yaml",8ad89c09e92dfef40220a7735c180d86976a28c97820318b5395d2ad795a515a,"[""pclk"", ""wclk"", ""zte,zx279133-mdio""]",[],"{""clock"": [""ZX279133_LSP1_CLK_MDIO0_PCLK"", ""ZX279133_LSP1_CLK_MDIO0_WCLK"", ""clock"", ""clocks""], ""phy"": [""MDIO"", ""ZX279133_LSP1_CLK_MDIO0_PCLK"", ""ZX279133_LSP1_CLK_MDIO0_WCLK"", ""ZX279133_LSP1_RESET_MDIO0"", ""mdio""], ""reset"": [""ZX279133_LSP1_RESET_MDIO0""]}","[""0x1000"", ""0x14f01000""]"
"linux-6.18.38/Documentation/devicetree/bindings/net/zte,zx279133-nppt.yaml",224dcbbbd8f2bb6a7c539b8bb0bb78d05bfff244d438fd2e0d11d9f35695d68a,"[""bmu"", ""buffer-release"", ""idm"", ""idm-aclk"", ""lan-serdes"", ""local-test"", ""mac-wclk"", ""nppt"", ""pclk"", ""pps"", ""rx"", ""se-hash"", ""serdes"", ""smac-wclk"", ""snps,dw-xpcs"", ""tm-aclk"", ""woe1-wclk"", ""zte,zx279133-idm-cci"", ""zte,zx279133-lan-conduit"", ""zte,zx279133-nppt"", ""zte,zx279133-pon-route""]",[],"{""clock"": [""ZX279133_TOPCRM_CLK_PON_IDM_ACLK"", ""ZX279133_TOPCRM_CLK_PON_MAC_WCLK"", ""ZX279133_TOPCRM_CLK_PON_PCLK"", ""ZX279133_TOPCRM_CLK_PON_SMAC_WCLK"", ""ZX279133_TOPCRM_CLK_PON_TM_ACLK"", ""ZX279133_TOPCRM_CLK_PON_WOE1_WCLK"", ""clock"", ""clocks""], ""irq"": [""IRQ_TYPE_LEVEL_HIGH""]}","[""0x800000"", ""0xa00000"", ""0xf00000"", ""0x1000000"", ""0x10e00078"", ""0x17000080"", ""0x18000000"", ""0x19000000"", ""0x1b000000"", ""0x9d700000"", ""0x9e100000"", ""0x9f100000""]"
"linux-6.18.38/Documentation/devicetree/bindings/nvmem/zte,zx279133-efuse.yaml",8569c94209e6d7bf4192f4f91161d3e5c815b6d2d998b6f10b1130f6abcfa2e7,"[""fixed-layout"", ""pclk"", ""wclk"", ""zte,zx279133-efuse""]",[],"{""clock"": [""clock"", ""clocks""]}","[""0x00"", ""0x44"", ""0x7c"", ""0x80"", ""0x1000"", ""0x14f11000""]"
"linux-6.18.38/Documentation/devicetree/bindings/phy/zte,zx279133-pon-serdes.yaml",3490a378749278aa9b3941748387d637707d2dd62fc432e204440d6eaf82d7e4,"[""0"", ""apb"", ""fixed-clock"", ""pclk"", ""pll"", ""serdes"", ""syscon"", ""topcrm-mode"", ""zte,zx279133-pon-serdes"", ""zte,zx296718-reset""]",[],"{""clock"": [""clock"", ""clocks""], ""reset"": [""ZX279133_LOCAL_RESET_PON_SERDES"", ""ZX279133_LOCAL_RESET_PON_SERDES_APB"", ""local_reset""]}","[""0x60"", ""0xc0"", ""0xc4"", ""0x10000"", ""0x10e10000"", ""0x10e10070"", ""0x10e100c0"", ""0x16000000"", ""0x16010000""]"
"linux-6.18.38/Documentation/devicetree/bindings/phy/zte,zx279133-uni-serdes.yaml",78a19ed661eeb2b3a1f863e663f0ee67ba8ad1333b44311101a9b81c439a81ff,"[""0"", ""pclk"", ""ref50m"", ""rx"", ""tx"", ""zte,zx279133-uni-serdes""]",[],"{""clock"": [""ZX279133_TOPCRM_CLK_UNI_SERDES_50M"", ""ZX279133_TOPCRM_CLK_UNI_SERDES_PCLK"", ""clock"", ""clocks""], ""reset"": [""ZX279133_LOCAL_RESET_UNI_SERDES_RX"", ""ZX279133_LOCAL_RESET_UNI_SERDES_TX"", ""local_reset""]}","[""0x100000"", ""0x16100000""]"
