/dev/root on / type jffs2 (ro,relatime)
/dev/loop0 on /kmodule type squashfs (ro,relatime)
proc on /proc type proc (rw,relatime)
tmpfs on /var type tmpfs (rw,relatime,size=56320k)
tmpfs on /tmp type tmpfs (rw,relatime,size=20480k)
tmpfs on /tracelog type tmpfs (rw,relatime,size=2048k)
tmpfs on /owdptsplugin/tmp type tmpfs (rw,relatime,size=2048k)
tmpfs on /DPITMP type tmpfs (rw,relatime,size=61440k)
tmpfs on /uadd type tmpfs (rw,relatime,size=1024k)
tmpfs on /owjdxbplugin/tmp type tmpfs (rw,relatime,size=3072k)
tmpfs on /plugintmp type tmpfs (rw,relatime,size=39936k)
sysfs on /sys type sysfs (rw,relatime)
debugfs on /sys/kernel/debug type debugfs (rw,relatime)
/dev/mtdblock3 on /usercfg type jffs2 (rw,relatime)
/dev/mtdblock4 on /defcfg type jffs2 (rw,relatime)
/dev/mtdblock9 on /Plugin type jffs2 (rw,relatime)
cgroup_root on /sys/fs/cgroup type tmpfs (rw,relatime)
blkio on /sys/fs/cgroup/blkio type cgroup (rw,relatime,blkio)
cpu on /sys/fs/cgroup/cpu type cgroup (rw,relatime,cpu)
cpuacct on /sys/fs/cgroup/cpuacct type cgroup (rw,relatime,cpuacct)
cpuset on /sys/fs/cgroup/cpuset type cgroup (rw,relatime,cpuset)
devices on /sys/fs/cgroup/devices type cgroup (rw,relatime,devices)
freezer on /sys/fs/cgroup/freezer type cgroup (rw,relatime,freezer)
memory on /sys/fs/cgroup/memory type cgroup (rw,relatime,memory)
net_cls on /sys/fs/cgroup/net_cls type cgroup (rw,relatime,net_cls)
net_prio on /sys/fs/cgroup/net_prio type cgroup (rw,relatime,net_prio)
perf_event on /sys/fs/cgroup/perf_event type cgroup (rw,relatime,perf_event)
cgroup_root on /sys/fs/cgroup type tmpfs (rw,relatime)
blkio on /sys/fs/cgroup/blkio type cgroup (rw,relatime,blkio)
cpu on /sys/fs/cgroup/cpu type cgroup (rw,relatime,cpu)
cpuacct on /sys/fs/cgroup/cpuacct type cgroup (rw,relatime,cpuacct)
cpuset on /sys/fs/cgroup/cpuset type cgroup (rw,relatime,cpuset)
devices on /sys/fs/cgroup/devices type cgroup (rw,relatime,devices)
freezer on /sys/fs/cgroup/freezer type cgroup (rw,relatime,freezer)
memory on /sys/fs/cgroup/memory type cgroup (rw,relatime,memory)
net_cls on /sys/fs/cgroup/net_cls type cgroup (rw,relatime,net_cls)
net_prio on /sys/fs/cgroup/net_prio type cgroup (rw,relatime,net_prio)
perf_event on /sys/fs/cgroup/perf_event type cgroup (rw,relatime,perf_event)
tmpfs on /dbtmpfile type tmpfs (rw,relatime,size=10240k)
none on /proc/bus/usb type usbfs (rw,relatime)
